city,gini,Area,freeman_centralization,founding century,continent,violent crime,property crime,entropy,crime,cv,structure,Population
portland,0.92154838791994675,352.0,0.0089081995719611489,19.0,North America,3105.0,26495.0,0.77405268127517046,39.22,0.026652495300212981,unplanned,205000.0
as-suwayda,0.69450371949996959,,0.043932896331420314,2.0,Asia,,,0.86187642803004383,,0.062982040552194501,unplanned,
phoenix,0.89340421780477652,3276.0,0.0051167554408656189,19.0,North America,8730.0,65617.0,0.80769492943817445,41.41,0.020555413538203691,planned,4076000.0
dallas,0.92923316020792412,5175.0,0.0054798580938779529,19.0,North America,10221.0,71364.0,0.76347761537963699,59.9,0.028502822281901131,partly,5874000.0
beijing,0.99527615528229785,3497.0,0.0023191396713511396,15.0,Asia,,,0.49207298228000307,47.61,0.10717266638073093,unplanned,17311000.0
munich,0.98010300327110411,466.0,0.003644920032593855,12.0,Europe,,,0.64748529935784915,15.34,0.048459989624203545,unplanned,1355000.0
damascus,0.96722330227831821,181.0,0.0045276021362488424,0.0,Asia,,,0.64393962609932209,59.64,0.075146160936253981,unplanned,2691000.0
hong-kong,0.98105183925930661,275.0,0.0030137475860535336,19.0,Asia,,,0.62439993707172936,16.31,0.06187799218403061,partly,7106000.0
kamloops,0.94314509764223065,52.0,0.027239262421524354,19.0,North America,,,0.65535796956953862,,0.10134462582243546,unplanned,73000.0
helsinki,0.84254838370894958,492.0,0.020951181342799344,16.0,Europe,,,0.77703292797295886,40.96,0.073262101576233668,planned,1131000.0
quito-ecuador,0.97610632809770304,479.0,0.0067624269680154649,16.0,South America,,,0.61585105306161525,48.36,0.076254032250547346,unplanned,1656000.0
hamburg,0.97979471146114072,712.0,0.0023629021715460895,5.0,Europe,,,0.6295670554129168,,0.059161951272570137,unplanned,1794000.0
philadelphia,0.94311010284359342,5131.0,0.012147558674160867,17.0,North America,19163.0,55888.0,0.72142009858101852,68.58,0.042532555615741194,planned,5474000.0
paris,0.99058235247023041,2845.0,0.0038045538460647582,0.0,Europe,,,0.53048924275563714,53.75,0.098180258872431536,unplanned,10755000.0
chengdu,0.93096956922629259,971.0,0.010020263327873454,0.0,Asia,,,0.69558855076486514,,0.081921827583238904,unplanned,7895000.0
dubai,0.96730867057807823,1230.0,0.0067183183669948573,19.0,Asia,,,0.66412417546980507,19.36,0.060840846410602258,unplanned,3244000.0
wroclaw,0.95782761585372278,124.0,0.0050553754507105557,10.0,Europe,,,0.67721267424021081,34.38,0.063314302675496259,unplanned,600000.0
los-angeles,0.92174773531048326,6299.0,0.0061610705851969927,18.0,North America,24070.0,94240.0,0.78083725847419316,65.74,0.022575729789921346,unplanned,14900000.0
glasgow,0.97105005888394402,368.0,0.00503581340526894,0.0,Europe,,,0.64849855906536802,,0.066679021420659179,unplanned,1201000.0
bangkok,0.97533867725959433,2202.0,0.0066306877846429562,20.0,Asia,,,0.65099495796576023,36.1,0.055598598848475893,unplanned,7151000.0
calgary,0.96085901055335432,704.0,0.005125972185995962,19.0,North America,,,0.6903620957340757,29.53,0.047023380985757798,unplanned,1107000.0
rotterdam,0.9785151634594359,842.0,0.0033329730809469639,13.0,Europe,,,0.63259688393362645,74.27,0.061620990855028389,unplanned,2113000.0
st-petersburg,0.98869967162103534,10600.0,0.002189887244435825,18.0,Europe,,,0.60720530536978101,56.96,0.054654621951926607,planned,4879000.0
rome,0.98704398116836323,1114.0,0.0062593121727179003,8.0,Europe,,,0.58668082447184788,62.34,0.071918981238698457,unplanned,3799000.0
santiago,0.96230408153353086,65.0,0.002915165602665022,16.0,South America,,,0.67767618779124128,42.33,0.046766562395354545,unplanned,450000.0
mobile-al,0.93119397532228942,578.0,0.018051700040074687,19.0,North America,1994.0,14123.0,0.73138077061111628,,0.04896809343921231,planned,327000.0
moscow,0.99193808757945778,4403.0,0.0018672536740040875,12.0,Europe,,,0.58712691142699724,53.19,0.056304843101334427,planned,15512000.0
berlin,0.97928070637254572,984.0,0.0013817479534832492,13.0,Europe,,,0.65906919182673085,24.19,0.042500130796374234,unplanned,3453000.0
budapest,0.97524670123371926,894.0,0.0091458133283938044,19.0,Europe,,,0.65185378724149368,34.18,0.056273506657804111,unplanned,1727000.0
lexington,0.82449010010898094,228.0,0.01499361495803422,18.0,North America,1760.0,10124.0,0.8199116764125095,,0.041506486879529271,unplanned,292000.0
austin,0.91963766113817891,1355.0,0.0058866610661749965,19.0,North America,4024.0,48026.0,0.75853970706524687,42.5,0.036062167034954823,planned,1430000.0
macon-ga,0.79453727415424491,254.0,0.025956241343825199,19.0,North America,,,0.82637539717716868,,0.04956638635854211,unplanned,138000.0
siem-reap,0.81663115783480567,,0.075880192958456327,20.0,Asia,,,0.77993700415050704,,0.093618491054681438,unplanned,
brasilia-brazil,0.99164001878602215,673.0,0.0072351751981320211,20.0,South America,,,0.54594298832651511,61.88,0.082421080579523229,planned,2362000.0
florence,0.99699970183365028,220.0,0.0094489009927871091,0.0,Europe,,,0.33640680127327754,39.58,0.24050910989878288,unplanned,821000.0
toronto,0.91880768405438107,2287.0,0.01049853550526705,18.0,North America,,,0.76948471062168056,27.4,0.027755834051001623,partly,6139000.0
dushanbe,0.94247042205503428,85.0,0.014867141111589649,20.0,Asia,,,0.65120330937853177,,0.11593465279795076,unplanned,550000.0
boston,0.91599703778516406,5325.0,0.008030703354149767,17.0,North America,6192.0,20749.0,0.76109756255719019,40.69,0.037660772043240906,partly,4427000.0
bordeaux,0.94103820570605123,1173.0,0.0076829371951967528,6.0,Europe,,,0.6790558353159114,57.29,0.080331723059897622,unplanned,845000.0
san-diego-tijuana,0.92831086060988344,,0.0067486525964864531,18.0,North America,5931.0,32246.0,0.73660256953610337,39.55,0.046999320980796934,unplanned,
monaco,0.86751343180324636,,0.023256606061431772,13.0,Europe,,,0.7429452504947246,54.69,0.097672231788641303,partly,
bratislava,0.95057254707569749,119.0,0.0046194115170835178,15.0,Europe,,,0.69896479415493584,34.38,0.056077891753786469,unplanned,400000.0
rio-de-janeiro,0.98468963278972954,2020.0,0.0090184488984312063,16.0,South America,,,0.60919749980515192,67.93,0.063594619055159299,unplanned,12043000.0
state-college-pa,0.7848276638559164,,0.040477868384845128,19.0,North America,,,0.81338537668083599,,0.073025235386034004,unplanned,
tokyo,0.95616550164312475,,0.0026896809529490403,15.0,Asia,,,0.73674303232937177,13.91,0.023702411705089004,unplanned,
